agent_id,product_id,sale_amount,sale_date,core_reference_id
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",300.00,"2025-04-15 22:45:00","REF123470"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",450.50,"2025-04-16 23:55:00","REF123471"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",120.00,"2025-04-17 00:05:00","REF123472"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",320.00,"2025-04-18 01:15:00","REF123473"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-04-19 02:25:00","REF123474"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",180.00,"2025-04-20 03:35:00","REF123475"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",290.00,"2025-04-21 04:45:00","REF123476"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",430.00,"2025-04-22 05:55:00","REF123477"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-04-23 06:05:00","REF123478"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",390.00,"2025-04-24 07:15:00","REF123479"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",250.00,"2025-04-25 08:25:00","REF123480"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",150.75,"2025-04-26 09:35:00","REF123481"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",300.00,"2025-04-27 10:45:00","REF123482"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",450.50,"2025-04-28 11:55:00","REF123483"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",120.00,"2025-04-29 12:05:00","REF123484"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",320.00,"2025-04-30 13:15:00","REF123485"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-05-01 14:25:00","REF123486"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",180.00,"2025-05-02 15:35:00","REF123487"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",290.00,"2025-05-03 16:45:00","REF123488"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",430.00,"2025-05-04 17:55:00","REF123489"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-05-05 18:05:00","REF123490"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",390.00,"2025-05-06 19:15:00","REF123491"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",250.00,"2025-05-07 20:25:00","REF123492"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",150.75,"2025-05-08 21:35:00","REF123493"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",300.00,"2025-05-09 22:45:00","REF123494"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",450.50,"2025-05-10 23:55:00","REF123495"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",120.00,"2025-05-11 00:05:00","REF123496"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",320.00,"2025-05-12 01:15:00","REF123497"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-05-13 02:25:00","REF123498"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",180.00,"2025-05-14 03:35:00","REF123499"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",290.00,"2025-05-15 04:45:00","REF123500"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",430.00,"2025-05-16 05:55:00","REF123501"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",210.00,"2025-05-17 06:05:00","REF123502"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",390.00,"2025-05-18 07:15:00","REF123503"
"123e4567-e89b-12d3-a456-426614174000","321e4567-e89b-12d3-a456-426614174000",250.00,"2025-05-19 08:25:00","REF123504"
